Domain,Score,Orientation,Occorrenze,Views,Forwards
jamanetwork.com,92.5,,428,191739,2254
heritage.org,69.5,Right,426,368873,2338
tnc.news,92.5,Right,424,996412,18188
compact-online.de,12.5,Right,422,3604637,19604
abc27.com,92.5,,421,641683,3388
wsoctv.com,87.5,,419,425884,3884
srf.ch,95.0,,419,1438917,15173
globaltimes.cn,39.5,,417,733420,4193
americanwirenews.com,54.5,Right,417,50351,541
ksltv.com,100.0,,415,459895,4266
theblock.co,92.5,,415,1240051,4719
coloradosun.com,100.0,,414,122272,1606
miragenews.com,52.0,,413,270657,2076
arabnews.com,44.5,,412,214762,2420
fr.de,100.0,,411,699770,17205
amgreatness.com,27.5,Right,411,1716389,17828
thenational.scot,100.0,,409,277432,1193
kptv.com,82.5,,409,186226,1165
lawofficer.com,62.5,Right,409,1024832,8159
theage.com.au,80.0,,408,419877,5605
fox29.com,90.0,,406,447223,3296
katehon.com,17.5,Right,405,935436,3485
sfchronicle.com,100.0,,405,1261905,10546
thestar.com,100.0,,405,162056,1482
scotsman.com,100.0,,405,1787834,2969
mintpressnews.com,22.5,Left,404,1277702,13335
zdf.de,100.0,,404,3069209,55119
cp24.com,87.5,,402,217440,1999
the-independent.com,85.0,,402,978572,12835
wfaa.com,90.0,,402,544693,5545
newsday.com,92.5,,400,215830,1452
fox6now.com,92.5,,400,363103,2934
bmj.com,100.0,,399,392522,6447
khq.com,87.5,,398,212764,1218
nasa.gov,100.0,,398,185733,2546
geopolitika.ru,7.5,Right,394,388519,2752
au.news.yahoo.com,100.0,,391,1203449,29174
komonews.com,90.0,,390,563375,4380
americanthinker.com,12.5,Right,390,802545,12010
foreignaffairs.com,100.0,,389,994682,4608
8newsnow.com,87.5,,388,278608,2760
stripes.com,100.0,,387,2186776,10744
100percentfedup.com,0.0,Right,386,182012,520
derbytelegraph.co.uk,100.0,,383,62243,239
wusa9.com,100.0,,383,272007,2112
pagesix.com,75.0,,382,445259,4436
wkbn.com,87.5,,379,143712,884
pressdemocrat.com,100.0,,378,129783,419
nzz.ch,100.0,,376,1363682,16401
thecountersignal.com,39.5,,374,212577,3620
spectator.co.uk,100.0,Right,371,535963,3867
boston25news.com,92.5,,370,184566,1508
wavy.com,87.5,,369,213403,1150
katu.com,90.0,,369,163127,1063
wikileaks.org,44.5,,367,3658038,39281
thefp.com,87.5,,366,1186583,9769
westword.com,100.0,,363,69964,1019
dailyclout.io,17.5,,363,2151166,41059
markets.businessinsider.com,100.0,,363,730201,5920
themirror.com,100.0,,362,315744,3547
pjmedia.com,27.5,Right,361,631468,4725
abc7ny.com,95.0,,361,881179,6081
newstalkzb.co.nz,75.0,,361,425748,5966
cbsaustin.com,90.0,,359,495935,5205
counterpunch.org,100.0,Left,358,50152,686
kxan.com,92.5,,358,363235,2967
kyivindependent.com,80.0,,357,1347553,7420
gothamist.com,100.0,,355,70866,790
militarytimes.com,100.0,,355,3281843,30487
okcfox.com,90.0,,355,503994,4908
seattletimes.com,92.5,,354,478867,3640
gloucestershirelive.co.uk,100.0,,354,19265,94
pcmag.com,100.0,,350,1370381,29315
abc3340.com,77.5,,350,596953,7321
i24news.tv,75.0,,350,421234,2401
6abc.com,87.5,,350,354018,2665
kfor.com,95.0,,348,400513,2932
nbclosangeles.com,87.5,,347,314504,3044
nbcconnecticut.com,82.5,,347,758541,8124
ctpost.com,92.5,,347,102899,628
masslive.com,92.5,,346,220510,1431
al.com,95.0,,345,625415,3835
1news.co.nz,90.0,,344,609799,15011
golem.de,100.0,,344,1178706,20859
cbs17.com,92.5,,344,177579,2001
abc15.com,100.0,,343,194344,1309
wyff4.com,87.5,,343,249746,1522
defensenews.com,100.0,,343,1893671,31678
wtnh.com,87.5,,342,327119,2700
idowa.de,95.0,,341,325171,4626
breakingdefense.com,100.0,,341,2225378,15412
unz.com,37.5,,340,407843,5342
freep.com,100.0,,339,197788,960
tampabay.com,100.0,,338,1870698,17977
abc7chicago.com,100.0,,338,534599,4071
wral.com,100.0,,338,224267,1610
wsvn.com,75.0,,337,263171,2334
asia.nikkei.com,87.5,,336,1513319,8083
deadline.com,100.0,,335,863908,10374
dinarchronicles.com,20.0,Right,334,110129,1626
thevaccinereaction.org,27.5,,334,99452,1514
wfmj.com,82.5,,334,346884,3348
democracydocket.com,39.5,Left,333,916477,11689
tennesseestar.com,47.5,Right,332,220042,1822
english.news.cn,7.5,,331,123095,1036
nbcboston.com,92.5,,330,399258,4675
space.com,100.0,,330,937878,4196
ksat.com,100.0,,327,127438,763
king5.com,95.0,,326,245940,2012
realclearinvestigations.com,80.0,Right,325,394021,4916
scotusblog.com,92.5,,325,147129,1332
kjzz.org,92.5,,325,194170,1157
nj.com,100.0,,324,417359,1715
inews.co.uk,100.0,,324,503445,2403
trialsitenews.com,30.0,,324,735409,7071
foxsanantonio.com,77.5,,323,171529,1126
spectator.org,62.0,Right,323,1433904,3200
dailyvoice.com,80.0,,323,219257,1575
wjla.com,90.0,,322,477295,4975
nymag.com,82.5,,322,541513,3368
kmph.com,90.0,,321,366688,2833
clickorlando.com,100.0,,321,1479586,16067
tag24.de,87.5,,321,312501,5541
ruptly.tv,12.5,,320,117953,68
livescience.com,100.0,,319,367965,4371
ballotpedia.org,75.0,,319,57032,688
lb.ua,67.5,,318,3641708,9407
nbcphiladelphia.com,87.5,,317,341742,2025
arizonadailyindependent.com,52.0,Right,317,148613,2732
macrobusiness.com.au,87.5,,317,350417,5018
rki.de,82.5,,317,1933590,82319
tomshardware.com,100.0,,316,359208,3400
middleeastmonitor.com,57.0,,316,789225,3992
local12.com,90.0,,315,332047,2237
dailytelegraph.co.nz,15.0,Right,315,511739,6452
krqe.com,87.5,,314,194034,1185
nbcdfw.com,87.5,,313,659787,13029
agenzianova.com,75.0,,311,624145,4671
swr.de,100.0,,311,913143,20335
abc7news.com,87.5,,310,545303,5656
irishnews.com,87.5,,310,181662,1600
firstcoastnews.com,95.0,,310,5720653,130130
wgntv.com,95.0,,309,142781,1230
shorenewsnetwork.com,87.5,Right,309,248077,1487
derstandard.de,95.0,,309,308388,3056
courier-journal.com,100.0,,308,408211,3383
11alive.com,100.0,,307,530484,4236
nbcsandiego.com,87.5,,305,259335,1588
mdr.de,95.0,,305,713590,6300
wwltv.com,95.0,,304,145265,785
clickondetroit.com,100.0,,304,237468,1501
the-express.com,92.5,,304,364820,4021
theregister.com,100.0,,302,396381,3663
cicero.de,92.5,,302,1998590,43702
armedforces.press,17.5,Right,301,220481,618
en.mehrnews.com,5.0,,301,730599,5466
geoengineeringwatch.org,30.0,,299,377509,9599
consortiumnews.com,47.5,Left,298,610781,6682
rand.org,87.5,,298,384652,5571
thecentersquare.com,92.5,,297,418235,2373
kstp.com,100.0,,296,148924,583
ksdk.com,100.0,,295,270104,2035
nbcchicago.com,82.5,,294,1022511,17000
br.de,100.0,,293,1270648,19756
news5cleveland.com,100.0,,293,436192,3019
themoscowtimes.com,87.5,,291,1038294,11532
statnews.com,100.0,,289,1517885,49935
thejc.com,87.5,,289,888445,9075
jacobin.com,92.5,Left,289,79334,594
mynorthwest.com,92.5,,287,410653,3939
covid19criticalcare.com,17.5,,286,325328,8250
presstv.ir,7.5,,286,452799,1679
koaa.com,100.0,,286,33012,110
schwaebische.de,95.0,,285,8540667,219748
stokesentinel.co.uk,100.0,,285,202382,1644
news4sanantonio.com,77.5,,284,158792,912
wthr.com,90.0,,283,143743,779
upi.com,92.5,,280,364916,4492
belfasttelegraph.co.uk,82.5,,280,353730,1867
sciencealert.com,92.5,,279,1721508,29789
houstonchronicle.com,100.0,,278,1255228,14536
theinteldrop.org,7.5,,278,1592589,20132
dallasnews.com,100.0,,277,205853,1698
reason.com,100.0,Right,276,298451,2728
fox8.com,87.5,,276,209119,1872
wptv.com,100.0,,275,921475,4647
koco.com,100.0,,275,185105,902
notthebee.com,57.5,Right,274,257958,2303
fox32chicago.com,87.5,,274,493237,6012
decisiondeskhq.com,70.0,,273,3409245,35725
tabletmag.com,80.0,,272,358916,2515
fox5ny.com,87.5,,272,133615,809
tampafp.com,57.0,Right,271,195194,1245
wtol.com,95.0,,271,372153,3311
wkrg.com,87.5,,271,121845,1043
kiro7.com,75.0,,271,183997,1881
ouest-france.fr,95.0,,271,58848,358
davidicke.com,0.0,,269,636627,4169
fox5sandiego.com,87.5,,269,269612,1583
medicalxpress.com,100.0,,269,278219,2810
ansa.it,82.5,,268,215262,1786
tennessean.com,92.5,,267,233838,2441
newshub.co.nz,87.5,,267,116017,788
atlantanewsfirst.com,100.0,,267,709753,4112
boston.com,92.5,,267,149778,982
chroniclelive.co.uk,100.0,,267,253816,2031
karlsruhe-insider.de,77.5,,266,453082,12766
ca.news.yahoo.com,100.0,,266,218528,2024
ilgiornale.it,67.5,Right,265,343044,7025
snopes.com,100.0,,264,791606,16265
local21news.com,77.5,,264,945228,14255
thenorthernecho.co.uk,100.0,,263,346432,1819
desmoinesregister.com,100.0,,262,737368,5891
pnas.org,92.5,,261,91658,1659
dispatch.com,100.0,,261,208102,1438
mashable.com,87.5,,261,2469279,45287
live5news.com,100.0,,259,172880,724
timesunion.com,100.0,,258,100806,564
stewpeters.com,7.5,Right,258,2789423,7890
kgw.com,100.0,,257,98363,613
alphanews.org,62.0,Right,257,771378,7213
kdrv.com,87.5,,257,120869,579
ktsm.com,92.5,,257,260893,2291
offthepress.com,67.5,Right,256,36096,384
nbc4i.com,87.5,,256,198292,2024
yournews.com,7.5,,256,409446,7373
de.rt.com,20.0,,256,436737,5178
futurism.com,100.0,,252,384519,5357
charliekirk.com,10.0,Right,252,80615,739
fox23.com,92.5,,251,142841,790
ansage.org,32.5,Right,248,1463640,26583
fox9.com,82.5,,248,434342,6486
wtop.com,92.5,,248,163663,896
glasgowlive.co.uk,87.5,,246,189254,914
anonymousnews.org,0.0,Right,246,852824,13279
