Source,Target,weight,type
Qrashthematrix,candlesinthenight,0.008522727272727272,Connection
pjwnews,sitreports,0.0009950248756218905,Connection
epochtimes,realKarliBonne,0.026805531842240056,Connection
ElectionFraud20_org,realKarliBonne,0.002442598925256473,Connection
ElectionFraud20_org,epochtimes,0.002952755905511811,Connection
DoctorQsBoomBox,Qrashthematrix,0.0019887305270135896,Connection
PatriotArmy,Qrashthematrix,0.0016139444803098773,Connection
Qrashthematrix,RedPillDealer4833,0.006888289907157832,Connection
DoctorQsBoomBox,PatriotArmy,0.004739336492890996,Connection
DoctorQsBoomBox,RedPillDealer4833,0.004411764705882353,Connection
PatriotArmy,RedPillDealer4833,0.002628120893561104,Connection
pjwnews,realKarliBonne,0.005402160864345739,Connection
joeygilbertinc,westcoast_intel,0.0047169811320754715,Connection
informationliberation,morrakiu,0.050761421319796954,Connection
EurasianChoice,informationliberation,0.005128205128205128,Connection
informationliberation,shadowman_311,0.012711864406779662,Connection
EurasianChoice,morrakiu,0.007444168734491315,Connection
morrakiu,shadowman_311,0.024291497975708502,Connection
EurasianChoice,shadowman_311,0.004347826086956522,Connection
WeTheMedia,dotconnectinganons,0.022871664548919948,Connection
TraditionalBritainGroup,saintharrison,0.002890173410404624,Connection
Jack_Posobiec,epochtimes,0.02794039382650346,Connection
prowhitefam2,shadowman_311,0.02608695652173913,Connection
ThePrisonersRecord,realKarliBonne,0.0019455252918287938,Connection
realKarliBonne,veryreasonable,0.024615384615384615,Connection
ThePrisonersRecord,veryreasonable,0.0029069767441860465,Connection
Not_On_The_Beeb,TraditionalBritainGroup,0.010214504596527068,Connection
Airstrip1news,Not_On_The_Beeb,0.011142061281337047,Connection
Airstrip1news,TraditionalBritainGroup,0.015514809590973202,Connection
brienjames,shitpostandaesthetics,0.058823529411764705,Connection
epochtimes,shitpostandaesthetics,0.0005060728744939271,Connection
nationalpulse,shitpostandaesthetics,0.0006954102920723226,Connection
DismantlingTheCabal,shitpostandaesthetics,0.0072992700729927005,Connection
nickmon1112,shitpostandaesthetics,0.07142857142857142,Connection
morrakiu,shitpostandaesthetics,0.004629629629629629,Connection
eastcoast_intel,shitpostandaesthetics,0.018518518518518517,Connection
ArkansasGroyper1,shitpostandaesthetics,0.16666666666666666,Connection
NTDNews,shitpostandaesthetics,0.0011876484560570072,Connection
Johnnys_hideout,shitpostandaesthetics,0.125,Connection
brienjames,epochtimes,0.0005030181086519115,Connection
brienjames,nationalpulse,0.000689655172413793,Connection
DismantlingTheCabal,brienjames,0.006711409395973154,Connection
brienjames,nickmon1112,0.038461538461538464,Connection
brienjames,morrakiu,0.0043859649122807015,Connection
brienjames,eastcoast_intel,0.015151515151515152,Connection
ArkansasGroyper1,brienjames,0.05555555555555555,Connection
NTDNews,brienjames,0.00117096018735363,Connection
Johnnys_hideout,brienjames,0.05,Connection
epochtimes,nationalpulse,0.010071090047393365,Connection
DismantlingTheCabal,epochtimes,0.0014245014245014246,Connection
epochtimes,nickmon1112,0.0010080645161290322,Connection
epochtimes,morrakiu,0.0004572473708276177,Connection
eastcoast_intel,epochtimes,0.0019782393669634025,Connection
ArkansasGroyper1,epochtimes,0.0005058168942842691,Connection
NTDNews,epochtimes,0.048044692737430165,Connection
Johnnys_hideout,epochtimes,0.0005053057099545225,Connection
DismantlingTheCabal,nationalpulse,0.0012746972594008922,Connection
nationalpulse,nickmon1112,0.000691085003455425,Connection
morrakiu,nationalpulse,0.0006064281382656155,Connection
eastcoast_intel,nationalpulse,0.0033715441672285905,Connection
ArkansasGroyper1,nationalpulse,0.0006949270326615705,Connection
NTDNews,nationalpulse,0.008418254319893664,Connection
Johnnys_hideout,nationalpulse,0.0006939625260235947,Connection
DismantlingTheCabal,nickmon1112,0.00684931506849315,Connection
DismantlingTheCabal,morrakiu,0.0028735632183908046,Connection
DismantlingTheCabal,eastcoast_intel,0.005376344086021506,Connection
ArkansasGroyper1,DismantlingTheCabal,0.007246376811594203,Connection
DismantlingTheCabal,NTDNews,0.0020554984583761563,Connection
DismantlingTheCabal,Johnnys_hideout,0.007142857142857143,Connection
morrakiu,nickmon1112,0.0044444444444444444,Connection
eastcoast_intel,nickmon1112,0.015873015873015872,Connection
ArkansasGroyper1,nickmon1112,0.06666666666666667,Connection
NTDNews,nickmon1112,0.002352941176470588,Connection
Johnnys_hideout,nickmon1112,0.058823529411764705,Connection
eastcoast_intel,morrakiu,0.0037735849056603774,Connection
ArkansasGroyper1,morrakiu,0.004608294930875576,Connection
