Id,Label,type,degree,closnesscentrality,betweenesscentrality,Authority,eigencentrality
1596709081,,User,1,0.321701,0,0.003096,0.006674
6713086495,,User,1,0.2712,0,0.000392,0.00063
177459777,,User,1,0.301008,0,0.000837,0.002479
5206290619,,User,1,0.308415,0,0.00103,0.002161
1303926427,,User,1,0.308415,0,0.00103,0.002161
6699828305,,User,3,0.334176,0,0.009142,0.01799
1458608697,,User,1,0.318441,0,0.00258,0.005613
6091755948,,User,1,0.318441,0,0.00258,0.005613
1577492748,,User,2,0.319283,0,0.003614,0.007346
1572833394,,User,1,0.301026,0,0.001034,0.001733
1395082032,,User,1,0.301026,0,0.001034,0.001733
1558683725,,User,5,0.331617,0,0.007098,0.016979
5130681501,,User,1,0.302756,0,0.001211,0.002411
7627545207,,User,1,0.268257,0,0.000317,0.000737
1595185185,,User,1,0.302756,0,0.001211,0.002411
1508477409,,User,1,0.302756,0,0.001211,0.002411
1021092909,,User,1,0.302756,0,0.001211,0.002411
1522202023,,User,1,0.301026,0,0.001034,0.001733
783080499,,User,2,0.323091,0,0.00413,0.008407
1496744500,,User,1,0.252611,0,0.000165,0.000325
7542662818,,User,4,0.34269,0,0.012349,0.024894
1702153516,,User,2,0.333308,0,0.008259,0.016504
1575131895,,User,2,0.322878,0,0.003626,0.009515
1591831308,,User,1,0.302046,0,0.001103,0.001987
7647086135,,User,1,0.309532,0,0.00144,0.004159
5769632308,,User,1,0.301123,0,0.001251,0.003028
7544674938,,User,1,0.318441,0,0.00258,0.005613
6012700476,,User,1,0.309532,0,0.00144,0.004159
1588183625,,User,1,0.252611,0,0.000165,0.000325
1573169340,,User,1,0.318441,0,0.00258,0.005613
5050283678,,User,2,0.331024,0,0.005103,0.013141
1580625323,,User,1,0.318441,0,0.00258,0.005613
1553666334,,User,1,0.318441,0,0.00258,0.005613
854943622,,User,1,0.27931,0,0.000377,0.00068
1593087675,,User,2,0.291042,0,0.001116,0.001743
6712755882,,User,2,0.309882,0,0.001757,0.004896
7682514585,,User,1,0.309532,0,0.00144,0.004159
7108126826,,User,1,0.309532,0,0.00144,0.004159
5846913924,,User,1,0.301026,0,0.001034,0.001733
6413323630,,User,2,0.320918,0,0.003306,0.007421
1481558018,,User,1,0.301026,0,0.001034,0.001733
914494105,,User,1,0.318441,0,0.00258,0.005613
1454685457,,User,1,0.318441,0,0.00258,0.005613
2059908642,,User,3,0.330354,0,0.00671,0.014021
1503478215,,User,1,0.301026,0,0.001034,0.001733
7153701709,,User,1,0.301026,0,0.001034,0.001733
8166070679,,User,1,0.309532,0,0.00144,0.004159
1614635128,,User,1,0.309532,0,0.00144,0.004159
7920328488,,User,1,0.309532,0,0.00144,0.004159
2090018051,,User,1,0.318441,0,0.00258,0.005613
1619015118,,User,1,0.318441,0,0.00258,0.005613
2077622355,,User,1,0.318441,0,0.00258,0.005613
2094001337,,User,1,0.309532,0,0.00144,0.004159
5061289225,,User,1,0.291929,0,0.000549,0.00138
150320220,,User,2,0.311966,0,0.001519,0.003614
ladyinfQrmd,,Channel,5,0.327795,37022.441688,0.0072,0.014724
1704629577,,User,1,0.311958,0,0.001426,0.003394
1517039059,,User,2,0.313352,0,0.002226,0.004585
1516208880,,User,1,0.311958,0,0.001426,0.003394
1562367222,,User,2,0.312042,0,0.001699,0.003914
1965395036,,User,2,0.3179,0,0.002646,0.005563
1539058538,,User,1,0.301026,0,0.001034,0.001733
1563502950,,User,1,0.301026,0,0.001034,0.001733
1497786668,,User,1,0.301026,0,0.001034,0.001733
